"f_1110-1"	"Points:0"	"Points:1"	"Points:2"
-0.4872	-0.40452	-0.091593	0
-0.49959	-0.39839	0.065835	0
-0.52748	-0.36378	0.056343	0
-0.44287	-0.42089	0.048634	0
-0.52395	-0.35707	-0.047249	0
-0.31107	-0.45289	0.053476	0
-0.48124	-0.32926	0.069958	0
-0.47882	-0.3282	0.036213	0
-0.07911	-0.49172	-0.024017	0
-0.5181	-0.35032	-0.025502	0
-0.075123	-0.49228	0.045412	0
-0.52745	-0.37217	-0.042363	0
-0.082754	-0.49119	0.030601	0
-0.44604	-0.41992	-0.071723	0
-0.34805	-0.44525	-0.038563	0
-0.33866	-0.28919	-0.078071	0
-0.38716	-0.30024	-0.039368	0
-0.50647	-0.39451	-0.078871	0
-0.5044	-0.39581	0.010607	0
-0.075096	-0.49227	0.0062087	0
-0.16446	-0.25767	0.016937	0
-0.25312	-0.27257	0.054709	0
-0.52789	-0.36608	0.0046806	0
-0.526	-0.37615	0.065068	0
-0.15993	-0.25694	-0.034054	0
-0.31403	-0.28413	-0.058804	0
-0.4444	-0.31601	-0.093038	0
-0.52036	-0.38389	-0.092222	0
-0.5169	-0.38716	0.0079701	0
-0.074544	-0.49238	0.065142	0
-0.075713	-0.49222	-0.065334	0
-0.30854	-0.28303	-0.038507	0
-0.51893	-0.35127	0.020028	0
-0.52692	-0.37395	-0.09192	0
-0.36295	-0.2945	0.0012238	0
-0.52716	-0.37314	-0.058475	0
-0.076734	-0.49204	-0.0067947	0
-0.357	-0.44323	-0.029277	0
-0.52124	-0.38287	0.023441	0
-0.52496	-0.37814	0.080654	0
-0.22164	-0.46937	-0.0099091	0
-0.23064	-0.26862	0.068787	0
-0.24022	-0.27027	0.011451	0
-0.16887	-0.25836	-0.09164	0
-0.26982	-0.46084	0.079232	0
-0.52406	-0.35708	-0.078297	0
-0.41746	-0.42829	0.062175	0
-0.072547	-0.49264	-0.045995	0
-0.50535	-0.34108	-0.019623	0
-0.43495	-0.31311	0.059462	0
-0.21142	-0.47112	0.053633	0
-0.29223	-0.45664	-0.03628	0
-0.47426	-0.32646	-0.027214	0
-0.50913	-0.39281	-0.067273	0
-0.51253	-0.34581	0.093191	0
-0.17675	-0.47682	0.029014	0
-0.079109	-0.49172	0.022469	0
-0.52613	-0.36064	0.082228	0
-0.29463	-0.28028	0.040952	0
-0.32896	-0.28717	-0.031228	0
-0.36141	-0.4422	-0.055197	0
-0.16682	-0.25804	0.091956	0
-0.51737	-0.38672	0.055091	0
-0.52757	-0.37071	0.030951	0
-0.43564	-0.31336	-0.057901	0
-0.1655	-0.47866	0.0011184	0
-0.17477	-0.47714	-0.030007	0
-0.5147	-0.38895	0.080113	0
-0.38846	-0.30058	-0.025087	0
